Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Gray,Mixed,Unknown,Stray,Other,14,,A749502
White,Mixed,Neutered Male,Owner Surrender,Austin Area,1095,Minion,A695799
Black,Other,Spayed Female,Owner Surrender,Austin Area,4015,Blanca,A517675
White,Mixed,Intact Male,Stray,Austin Area,5,,A746787
Black,Mixed,Spayed Female,Stray,Other,270,Shelby,A758769
Brown,Pit Bull,Intact Female,Stray,Austin Area,60,Oribelle,A811435
White,Mixed,Intact Male,Stray,Other,30,*Bagel,A777447
Other,Mixed,Spayed Female,Stray,Austin Area,2555,Precious,A720961
White,Mixed,Intact Female,Stray,Austin Area,730,,A692518
Brown,Mixed,Intact Male,Stray,Austin Area,3,Tippy,A770322
White,Mixed,Neutered Male,Stray,Austin Area,2190,Mega,A554047
White,Mixed,Neutered Male,Stray,Austin Area,1825,Guerro,A688710
Black,Mixed,Intact Male,Stray,Austin Area,180,,A759869
Black,Mixed,Intact Female,Stray,Austin Area,365,*Cali,A745842
Other,Mixed,Spayed Female,Owner Surrender,Austin Area,1095,*Lynnette,A738181
Gray,Mixed,Intact Male,Stray,Austin Area,0,,A791024
Black,Mixed,Spayed Female,Stray,Austin Area,3285,Sophie,A725081
White,Mixed,Spayed Female,Stray,Austin Area,5475,Kip,A717086
Orange,Mixed,Unknown,Wildlife,Austin Area,365,,A734264
White,Mixed,Intact Female,Public Assist,Austin Area,365,Sandy,A768957
White,Mixed,Intact Female,Stray,Austin Area,28,*Sassy,A761425
Black,Mixed,Neutered Male,Owner Surrender,Other,90,*Lalo,A711073
Gray,Mixed,Intact Female,Stray,Austin Area,150,*Dolphin,A784082
White,Mixed,Intact Male,Stray,Austin Area,120,,A665763
Black,Other,Intact Male,Owner Surrender,Austin Area,150,*Cosmo,A758257
Black,Mixed,Neutered Male,Owner Surrender,Austin Area,730,Black,A763536
White,Mixed,Intact Male,Stray,Austin Area,28,*Sage,A677471
White,Mixed,Intact Female,Stray,Austin Area,300,Snow,A736729
Black,Chihuahua,Intact Male,Stray,Austin Area,270,*Goose,A779997
White,Domestic,Intact Male,Stray,Austin Area,120,,A781958
Tan,Mixed,Neutered Male,Stray,Austin Area,3650,*Jeb,A689627
Black,Mixed,Neutered Male,Stray,Austin Area,730,,A791622
Black,Pit Bull,Intact Male,Stray,Austin Area,365,Lucky,A754545
Brown,Mixed,Intact Female,Stray,Other,120,,A707794
White,Mixed,Intact Female,Stray,Austin Area,730,,A813413
Other,Mixed,Intact Male,Stray,Austin Area,300,Simba,A734013
Black,Mixed,Intact Female,Owner Surrender,Austin Area,730,Boo,A674489
White,Mixed,Spayed Female,Owner Surrender,Austin Area,5110,Peaches,A774425
Black,Mixed,Unknown,Owner Surrender,Austin Area,365,,A718918
Gray,Mixed,Intact Male,Stray,Austin Area,90,,A778665
White,Mixed,Unknown,Stray,Austin Area,7,,A780998
Brown,Labrador,Intact Female,Stray,Austin Area,30,,A811098
White,Mixed,Spayed Female,Stray,Austin Area,2190,Penny,A680679
Black,Mixed,Intact Female,Stray,Austin Area,730,,A803867
Brown,Mixed,Intact Female,Stray,Other,30,,A778179
Brown,Mixed,Unknown,Stray,Austin Area,28,,A730594
Brown,Mixed,Spayed Female,Owner Surrender,Other,2190,Cat,A670075
Black,Mixed,Intact Female,Stray,Austin Area,1095,Daisy Mae,A791198
Black,Mixed,Spayed Female,Stray,Austin Area,2555,Lycha,A735212
Black,Mixed,Intact Female,Stray,Austin Area,730,Riley,A690923
Brown,Mixed,Intact Female,Stray,Austin Area,30,*Emma,A704918
White,Mixed,Intact Male,Stray,Austin Area,14,,A713011
Black,Mixed,Intact Male,Stray,Austin Area,28,*Jupiter,A706316
Brown,Mixed,Unknown,Wildlife,Austin Area,1095,,A698345
Brown,Domestic,Intact Male,Stray,Austin Area,90,,A824592
White,Mixed,Neutered Male,Owner Surrender,Austin Area,60,*Jax,A767731
Black,Mixed,Intact Female,Stray,Austin Area,21,*Moonpie,A814041
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,730,Negra,A763708
Black,Shepherd,Intact Female,Stray,Manor,1095,*Aster,A680733
White,Pit Bull,Intact Male,Stray,Austin Area,1095,*Benny,A735718
Gray,Mixed,Neutered Male,Owner Surrender,Other,365,*Mackeral,A747800
Black,Mixed,Intact Female,Stray,Austin Area,730,*Mini Cooper,A683086
Tan,Other,Spayed Female,Stray,Austin Area,4015,Bailey,A583574
White,Mixed,Spayed Female,Stray,Austin Area,730,Earleena,A782849
Black,Labrador,Intact Male,Owner Surrender,Austin Area,30,*Scout,A754988
Black,Mixed,Neutered Male,Stray,Austin Area,5475,Mikal,A712711
White,Mixed,Neutered Male,Stray,Austin Area,1825,Cowboy,A623101
White,Mixed,Intact Male,Stray,Austin Area,365,,A741873
Brown,Mixed,Intact Female,Stray,Austin Area,28,*Piper,A709263
White,Mixed,Intact Male,Stray,Austin Area,30,Snow Ball,A684783
Black,Mixed,Intact Female,Owner Surrender,Austin Area,1095,Eva,A774364
White,Mixed,Spayed Female,Owner Surrender,Austin Area,365,Honey,A645345
Black,Mixed,Intact Male,Stray,Other,30,,A717905
Black,Mixed,Unknown,Wildlife,Austin Area,730,,A769277
Black,Mixed,Intact Female,Stray,Austin Area,365,Ava,A778100
White,Domestic,Intact Male,Stray,Austin Area,1095,,A811757
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,365,Bo,A669245
White,Mixed,Intact Male,Stray,Austin Area,180,*Griffin,A693348
Other,Mixed,Intact Female,Stray,Other,30,,A762273
Tan,Mixed,Intact Female,Owner Surrender,Austin Area,365,*Finn,A823204
Gray,Domestic,Intact Male,Stray,Other,14,,A802383
Gray,Mixed,Intact Female,Stray,Austin Area,365,,A700008
Black,Mixed,Intact Female,Stray,Other,60,Danny Girl,A814825
White,Mixed,Neutered Male,Stray,Austin Area,3285,Saki,A683044
Black,Mixed,Intact Female,Stray,Other,60,*Angel,A813625
Brown,Other,Unknown,Wildlife,Austin Area,150,,A700807
Black,Mixed,Neutered Male,Owner Surrender,Other,730,Pete,A712942
Black,Mixed,Intact Male,Stray,Austin Area,730,Tux,A693537
White,Mixed,Intact Female,Owner Surrender,Other,30,,A764257
Brown,Mixed,Intact Male,Stray,Austin Area,30,Thor,A751382
White,Mixed,Neutered Male,Stray,Austin Area,730,*Turk,A743396
White,Mixed,Intact Female,Stray,Austin Area,365,*Harley,A723561
White,Mixed,Neutered Male,Stray,Austin Area,2555,Lamont,A722495
Other,Mixed,Intact Female,Owner Surrender,Austin Area,60,Nina,A756307
Gray,Mixed,Unknown,Stray,Austin Area,14,,A712376
Black,Mixed,Intact Male,Stray,Austin Area,28,,A702907
White,Mixed,Neutered Male,Stray,Austin Area,365,Oreo,A810178
White,Pit Bull,Neutered Male,Stray,Austin Area,730,Ink,A806197
Gray,Mixed,Spayed Female,Owner Surrender,Leander,730,Luna,A760532
Yellow,Mixed,Spayed Female,Owner Surrender,Austin Area,2190,Laika,A663798
Brown,Mixed,Unknown,Wildlife,Austin Area,730,,A780055
White,Mixed,Intact Male,Owner Surrender,Austin Area,730,Max,A818417
Black,Mixed,Intact Female,Owner Surrender,Austin Area,1460,Morena,A789594
Brown,Other,Unknown,Wildlife,Austin Area,730,,A816005
Brown,Mixed,Spayed Female,Stray,Austin Area,730,Coco,A667732
White,Labrador,Intact Female,Stray,Austin Area,150,*Roxy,A699932
