Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Black,Mixed,Intact Female,Stray,Austin Area,730,,A668295
White,Mixed,Neutered Male,Stray,Austin Area,730,*Stanley,A676263
Black,Mixed,Unknown,Wildlife,Austin Area,365,,A678439
White,Mixed,Spayed Female,Stray,Austin Area,4380,Dreamer,A736719
Black,Mixed,Spayed Female,Stray,Austin Area,365,*Milkbone,A791540
White,Mixed,Intact Female,Owner Surrender,Austin Area,180,*Ladybird,A770028
Brown,Mixed,Neutered Male,Stray,Austin Area,1460,Leon,A611226
White,Mixed,Intact Male,Stray,Other,30,Pancake,A750451
Black,Mixed,Intact Female,Owner Surrender,Austin Area,30,London,A707943
Brown,Mixed,Intact Female,Stray,Austin Area,730,,A791850
White,Mixed,Unknown,Stray,Austin Area,7,,A696333
Other,Domestic,Spayed Female,Stray,Austin Area,270,,A804055
Brown,Mixed,Unknown,Wildlife,Austin Area,365,,A695485
White,Domestic,Intact Male,Owner Surrender,Austin Area,30,*Cinnamon,A737007
White,Mixed,Intact Female,Stray,Austin Area,365,Heidi,A775126
White,Mixed,Spayed Female,Public Assist,Austin Area,730,*Lila,A687298
Gray,Mixed,Intact Male,Stray,Austin Area,3650,*Doug,A729943
White,Mixed,Intact Male,Stray,Austin Area,30,Kai,A795850
Black,Mixed,Unknown,Stray,Austin Area,14,,A738202
Black,Mixed,Intact Female,Stray,Other,300,,A776422
White,Domestic,Intact Female,Stray,Austin Area,7,,A800717
Other,Terrier,Spayed Female,Stray,Other,210,Roo,A707779
Gray,Mixed,Neutered Male,Owner Surrender,Austin Area,3285,Ash,A675067
Brown,Mixed,Intact Male,Stray,Austin Area,21,,A778103
White,Mixed,Intact Male,Stray,Austin Area,60,Pumpkin,A778601
Brown,Mixed,Intact Female,Stray,Austin Area,28,,A777656
Brown,Mixed,Intact Female,Public Assist,Austin Area,1095,Liliana,A789406
Gray,Domestic,Intact Male,Stray,Austin Area,7,,A816185
White,Mixed,Intact Female,Stray,Other,1095,Watermelon,A787448
Gray,Mixed,Intact Female,Stray,Austin Area,14,,A793946
Black,Mixed,Unknown,Stray,Austin Area,365,,A687805
Black,Mixed,Intact Female,Stray,Austin Area,30,*Skye,A780860
Black,Mixed,Intact Female,Stray,Other,365,,A722000
Black,Mixed,Intact Male,Stray,Austin Area,14,,A724640
White,Mixed,Neutered Male,Owner Surrender,Austin Area,150,*Simon,A729026
Black,Mixed,Unknown,Stray,Austin Area,2190,,A729521
Black,Other,Intact Male,Owner Surrender,Austin Area,30,Cookie,A818382
White,Other,Spayed Female,Owner Surrender,Austin Area,730,Rocket,A808587
Black,Mixed,Intact Female,Stray,Austin Area,30,,A731789
Black,Mixed,Intact Female,Stray,Austin Area,21,*Dizzy,A689446
